SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8788080885070214
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8655857995606471
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8692768000123183
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8858494112876734
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8882877299416935
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8644758689537654
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8657487604705593
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8731281950603595
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8940632185677916
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.865068045803564
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8816477144411596
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8806802142358544
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8762129039377515
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.863133045392954
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8886482969943337
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8954130994908434
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8777077815759218
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8657044915619612
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8812213856040075
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8871883853781719
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8825032592181984
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8645348941652294
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8780170223577236
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8755639474008378
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8944170490473844
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8647081203293093
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8772580351276997
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8838775201198981
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8779952086926173
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8644277505748542
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8796164772727273
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8788574900427034
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8815059256179684
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.865201494107744
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8825937217705512
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8728535995113739
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8882739360064055
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8646523030097726
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8652502540650406
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8812807316046646
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8879566754947852
SUCCESS | Hidden: [8, 50], Dropout: 0.2, Heads: 5, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8650314758355917
