SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.86401521567299
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8653843439476061
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8847359519996715
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8846653783772687
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8655344732898086
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8782114206085243
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8795276186663381
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8838079088650734
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 3, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8644572631805862
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8754936945676276
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8766055499096658
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8749676002915333
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8622252119774986
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8815177948180998
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8823136728052886
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8738130799868604
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8651129562905479
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8735878859735567
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8834617773261066
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8870039315923463
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8645066647162684
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8766642543319374
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8892542677794203
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8897405841956147
SUCCESS | Hidden: [6, 30], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8649839990350661
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8431748249774164
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.860744128274616
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8418724208548903
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.847905823991952
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8625010906832553
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8581903255112098
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8623621889627988
